,Position,Club,Played,Won,Draw,Loss,GF,GA,GD,Points,Next Match
0,1,TOT,8,6,2,0,18,8,10,20,TOT
1,2,MCI,7,6,0,1,17,5,12,18,ARS
2,3,ARS,7,5,2,0,15,6,9,17,ARS
3,4,LIV,7,5,1,1,16,7,9,16,BHA
4,5,AVL,7,5,0,2,18,11,7,15,WOL
5,6,BHA,7,5,0,2,19,14,5,15,BHA
6,7,WHU,7,4,1,2,13,10,3,13,WHU
7,8,NEW,7,4,0,3,18,7,11,12,WHU
8,9,CRY,8,3,3,2,7,7,0,12,NEW
9,10,MUN,8,4,0,4,9,12,-3,12,SHU
10,11,CHE,8,3,2,3,11,7,4,11,CHE
11,12,FUL,8,3,2,3,8,13,-5,11,TOT
12,13,NFO,8,2,3,3,8,10,-2,9,NFO
13,14,BRE,8,1,4,3,11,12,-1,7,BRE
14,15,EVE,8,2,1,5,9,12,-3,7,LIV
15,16,WOL,7,2,1,4,8,13,-5,7,WOL
16,17,LUT,8,1,1,6,6,15,-9,4,NFO
17,18,BUR,8,1,1,6,7,20,-13,4,BRE
18,19,BOU,8,0,3,5,5,18,-13,3,BOU
19,20,SHU,8,0,1,7,6,22,-16,1,SHU
