,player_id,first_name,last_name,team_id,player_type,minutes_played,form,form_rank,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,player_influence,player_influence_rank,player_creativity,player_creativity_rank,player_threat,player_threat_rank,player_starts,player_news,news_date
0,1,Folarin,Balogun,1,4,0,0.0,526,0,0,0,0,0,0,0,0,0,0.0,565,0.0,554,0.0,537,0,Transferred to Monaco,2023-08-31 08:55:15.272751+00:00
1,2,Cédric,Alves Soares,1,2,0,0.0,367,0,0,0,0,0,0,0,0,0,0.0,427,0.0,408,0.0,373,0,,
2,3,Mohamed,Elneny,1,3,0,0.0,502,0,0,0,0,0,0,0,0,0,0.0,547,0.0,535,0.0,516,0,,2023-08-11 13:00:06.079379+00:00
3,4,Fábio,Ferreira Vieira,1,3,185,1.2,203,0,3,1,2,0,0,0,0,0,45.6,251,56.5,148,58.0,131,2,,2023-09-29 10:30:07.948136+00:00
4,5,Gabriel,dos Santos Magalhães,1,2,384,3.0,61,0,0,2,3,0,0,0,1,0,86.6,158,8.4,330,8.0,308,4,,2023-09-30 23:00:07.672676+00:00
5,6,Kai,Havertz,1,3,446,2.0,129,1,0,2,4,0,0,0,3,0,69.8,197,85.5,85,86.0,81,5,,
6,8,Gabriel,Fernando de Jesus,1,4,205,2.0,130,1,1,1,2,0,0,0,1,0,58.0,217,49.7,166,113.0,53,2,,2023-09-30 23:30:06.990139+00:00
7,9,Jorge Luiz,Frello Filho,1,3,72,0.5,298,0,0,0,2,0,0,0,0,0,17.4,327,10.2,324,0.0,699,0,,2023-08-07 15:30:05.168632+00:00
8,10,Jakub,Kiwior,1,2,91,0.0,482,0,0,0,2,0,0,0,0,0,16.4,332,4.9,347,14.0,263,1,,
9,11,Marcus,Oliveira Alencar,1,3,0,0.0,592,0,0,0,0,0,0,0,0,0,0.0,625,0.0,622,0.0,611,0,Season long loan to FC Nantes,2023-08-14 03:57:12.475590+00:00
10,12,Gabriel,Martinelli Silva,1,3,356,0.2,364,0,2,1,4,0,0,0,0,0,59.8,216,86.0,83,131.0,44,5,Muscle injury - 50% chance of playing,2023-09-17 20:30:06.235303+00:00
11,13,Eddie,Nketiah,1,4,493,2.0,127,2,2,4,4,0,0,0,1,0,75.6,181,72.9,109,151.0,36,6,,
12,14,Martin,Ødegaard,1,3,622,5.2,11,3,2,3,5,0,0,0,1,0,198.4,24,177.0,24,187.0,26,7,,
13,15,Thomas,Partey,1,3,235,0.0,634,0,0,1,2,0,0,0,0,0,53.4,229,58.2,142,15.0,260,3,,2023-10-02 20:00:07.692080+00:00
14,16,Nicolas,Pépé,1,3,0,0.0,652,0,0,0,0,0,0,0,0,0,0.0,672,0.0,670,0.0,664,0,Permanent move to Trabzonspor,2023-09-11 14:13:51.462896+00:00
15,17,Aaron,Ramsdale,1,1,360,0.0,655,0,0,1,4,0,0,0,0,0,51.0,234,0.0,673,0.0,668,4,,
16,18,Rúnar Alex,Rúnarsson,1,1,0,0.0,403,0,0,0,0,0,0,0,0,0,0.0,460,0.0,443,0.0,411,0,Season long loan to Cardiff City,2023-08-20 06:33:02.960208+00:00
17,19,Bukayo,Saka,1,3,613,7.0,3,4,3,3,6,0,0,0,1,0,269.2,3,294.5,4,290.0,4,7,Muscle injury - 75% chance of playing,2023-10-03 22:30:07.474324+00:00
18,20,William,Saliba,1,2,630,3.2,47,0,1,3,6,0,0,0,0,0,153.2,56,34.5,200,9.0,300,7,,2023-09-29 10:30:08.030031+00:00
19,22,Emile,Smith Rowe,1,3,10,0.5,297,0,0,0,0,0,0,0,0,0,8.4,376,1.5,373,36.0,173,0,,
20,24,Kieran,Tierney,1,2,0,0.0,511,0,0,0,0,0,0,0,0,0,0.0,553,0.0,542,0.0,522,0,Season long loan to Real Sociedad,2023-08-29 07:46:59.686803+00:00
21,25,Takehiro,Tomiyasu,1,2,151,0.5,274,0,0,1,1,0,0,0,0,1,15.0,338,11.3,313,9.0,296,1,,2023-08-22 00:00:07.272418+00:00
22,26,Leandro,Trossard,1,3,128,2.8,77,1,0,1,2,0,0,0,0,0,61.6,211,77.1,99,33.0,184,1,,2023-09-24 22:30:06.788217+00:00
23,29,Benjamin,White,1,2,630,6.2,4,1,1,3,6,0,0,0,1,0,171.4,39,105.9,55,54.0,138,7,,
24,30,Granit,Xhaka,1,3,0,0.0,705,0,0,0,0,0,0,0,0,0,0.0,714,0.0,714,0.0,714,0,Transferred to Bayer Leverkusen,2023-07-11 08:41:07.159936+00:00
25,31,Oleksandr,Zinchenko,1,2,347,3.5,41,0,0,2,4,0,0,0,0,0,68.2,200,88.5,80,32.0,187,4,,
26,113,David,Raya Martin,1,1,270,4.0,30,0,0,2,2,0,0,0,0,0,52.2,231,0.0,656,0.0,649,3,,
27,540,Declan,Rice,1,3,575,1.8,142,1,0,3,5,0,0,0,0,0,147.2,63,68.2,119,70.0,102,7,,2023-09-24 22:30:08.321972+00:00
28,578,Reiss,Nelson,1,3,35,0.5,290,0,0,0,0,0,0,0,0,0,10.4,358,30.6,218,10.0,290,0,,2023-08-07 15:30:06.067296+00:00
29,585,Jurriën,Timber,1,2,49,0.0,626,0,0,0,0,0,0,0,1,0,3.6,402,2.4,359,0.0,643,1,Knee injury - Unknown return date,2023-08-12 18:00:07.121160+00:00
30,646,Karl,Hein,1,1,0,0.0,451,0,0,0,0,0,0,0,0,0,0.0,506,0.0,490,0.0,460,0,,
31,32,Alexandre,Moreno Lopera,2,2,0,0.0,667,0,0,0,0,0,0,0,0,0,0.0,685,0.0,682,0.0,677,0,Hamstring injury - Expected back 22 Oct,2023-09-24 22:30:06.810510+00:00
32,34,Leon,Bailey,2,3,201,1.5,177,2,1,1,4,0,0,0,1,0,95.4,135,52.4,162,59.0,126,2,,2023-09-28 04:00:07.310756+00:00
33,35,Emiliano,Buendía Stati,2,3,0,0.0,703,0,0,0,0,0,0,0,0,0,0.0,712,0.0,712,0.0,712,0,Knee injury - Expected back 10 Feb,2023-08-10 11:00:05.686871+00:00
34,36,Matty,Cash,2,2,626,3.2,45,2,1,2,10,1,0,0,2,0,183.0,31,45.5,171,195.0,22,7,,
35,37,Calum,Chambers,2,2,0,0.0,372,0,0,0,0,0,0,0,0,0,0.0,431,0.0,412,0.0,377,0,,
36,38,Philippe,Coutinho Correia,2,3,24,0.0,701,0,0,0,1,0,0,0,0,0,4.0,399,2.8,357,12.0,275,0,Joined Al-Duhail on loan for the rest of the season,2023-08-20 22:00:05.790965+00:00
37,39,Keinan,Davis,2,4,0,0.0,654,0,0,0,0,0,0,0,0,0,0.0,674,0.0,672,0.0,667,0,Transferred to Udinese,2023-09-03 20:12:01.415986+00:00
38,40,Leander,Dendoncker,2,3,2,0.5,289,0,0,0,0,0,0,0,0,0,5.2,390,0.1,405,0.0,661,0,,2023-08-10 15:00:04.947940+00:00
39,41,Diego Carlos,Santos Silva,2,2,160,0.0,507,0,0,0,4,0,0,0,0,0,40.6,262,1.5,372,45.0,152,2,,2023-09-04 05:00:07.186249+00:00
40,42,Lucas,Digne,2,2,620,2.8,70,0,3,2,11,0,0,0,4,0,140.4,74,213.2,15,41.0,161,7,,
41,43,Douglas Luiz,Soares de Paulo,2,3,579,5.0,16,3,0,2,11,0,0,0,4,0,183.8,30,116.7,49,79.0,89,7,,
42,44,Jhon,Durán,2,4,68,1.5,173,2,0,0,0,0,0,0,2,0,72.6,193,14.2,287,55.0,136,0,,2023-08-10 15:00:04.972558+00:00
43,45,Kortney,Hause,2,2,0,0.0,407,0,0,0,0,0,0,0,0,0,0.0,464,0.0,447,0.0,415,0,,
44,46,Tim,Iroegbunam,2,3,0,0.0,544,0,0,0,0,0,0,0,0,0,0.0,581,0.0,572,0.0,556,0,Lack of match fitness - 75% chance of playing,2023-08-10 15:00:04.998490+00:00
45,47,Boubacar,Kamara,2,3,595,1.5,171,0,0,2,11,0,0,0,1,0,82.2,171,101.8,62,11.0,283,7,Knock - 75% chance of playing,2023-09-30 23:00:07.886006+00:00
46,48,Ezri,Konsa Ngoyo,2,2,630,2.5,82,0,0,2,11,0,0,0,1,0,133.6,83,7.2,335,13.0,269,7,,
47,49,Emiliano,Martínez Romero,2,1,540,2.5,83,0,0,2,10,0,0,0,2,0,154.8,53,0.0,666,0.0,659,6,,2023-08-25 14:00:08.378829+00:00
48,50,John,McGinn,2,3,567,2.2,106,1,1,2,9,0,0,0,1,0,97.2,134,112.3,50,69.0,105,7,,
49,51,Tyrone,Mings,2,2,30,0.0,473,0,0,0,2,0,0,0,0,0,3.6,400,13.0,296,5.0,330,1,Knee injury - Unknown return date,2023-08-12 21:30:06.077936+00:00
50,53,Robin,Olsen,2,1,90,0.0,401,0,0,0,1,0,0,0,0,0,12.0,351,0.0,441,0.0,409,1,,
51,54,Jaden,Philogene-Bidace,2,3,3,0.0,594,0,0,0,1,0,0,0,0,0,0.4,418,0.3,394,2.0,360,0,Transferred to Hull City,2023-09-02 08:48:12.680336+00:00
52,55,Jacob,Ramsey,2,3,48,1.8,145,1,0,0,0,0,0,0,0,0,43.8,254,1.6,370,28.0,200,0,Foot injury - Expected back 22 Oct,2023-10-04 15:30:08.354887+00:00
53,56,Morgan,Sanson,2,3,0,0.0,556,0,0,0,0,0,0,0,0,0,0.0,591,0.0,587,0.0,573,0,Joined OGC Nice on a season-long loan,2023-07-26 11:26:30.137805+00:00
