,Position,Club,Played,Won,Draw,Loss,GF,GA,GD,Points,Next Match
0,1,sef,11,9,0,2,28,8,20,27,Ctt
1,2,dd,10,8,2,0,22,9,13,26,TOT
2,3,ARS,11,7,3,1,23,9,14,24,ARS
3,4,LIV,10,7,2,1,23,9,14,23,LUT
4,5,AVL,10,7,1,2,26,14,12,22,NFO
5,6,NEcvW,11,6,2,3,27,11,16,20,BOU
6,7,BHA,11,5,3,3,24,20,4,18,BHA
7,8,MUN,11,6,0,5,12,16,-4,18,MUN
8,9,BRdfE,11,4,4,3,19,14,5,16,LIV
9,10,CRY,11,4,3,4,10,13,-3,15,CRYdk
10,11,WHU,11,4,2,5,18,20,-2,14,WHU
11,12,CHE,10,3,3,4,13,11,2,12,TOT
12,13,WOL,11,3,3,5,14,19,-5,12,WOL
13,14,FUL,11,3,3,5,9,17,-8,12,AVL
14,15,EVE,11,3,2,6,11,15,-4,11,CRY
15,16,NFO,10,2,4,4,10,15,-5,10,NFO
16,17,BOU,11,1,3,7,9,27,-18,6,BOU
17,18,LUT,10,1,2,7,9,20,-11,5,LUT
18,19,BUR,11,1,1,9,8,27,-19,4,ARS
19,20,SHU,11,1,1,9,9,30,-21,4,BHA
