,Position,Club,Played,Won,Draw,Loss,GF,GA,GD,Points,Next Match
0,1,TOT,10,8,2,0,22,9,13,26,TOT
1,2,ARS,10,7,3,0,23,8,15,24,NEW
2,3,MCI,10,8,0,2,22,7,15,24,MCI
3,4,LIV,10,7,2,1,23,9,14,23,LUT
4,5,AVL,10,7,1,2,26,14,12,22,NFO
5,6,NEW,10,5,2,3,26,11,15,17,NEW
6,7,BHA,10,5,2,3,23,19,4,17,EVE
7,8,MUN,10,5,0,5,11,16,-5,15,FUL
8,9,WHU,10,4,2,4,16,17,-1,14,BRE
9,10,BRE,10,3,4,3,16,12,4,13,BRE
10,11,CHE,10,3,3,4,13,11,2,12,TOT
11,12,WOL,10,3,3,4,13,17,-4,12,SHU
12,13,CRY,10,3,3,4,8,13,-5,12,BUR
13,14,FUL,10,3,3,4,9,16,-7,12,FUL
14,15,EVE,10,3,1,6,10,14,-4,10,EVE
15,16,NFO,10,2,4,4,10,15,-5,10,NFO
16,17,BOU,10,1,3,6,8,21,-13,6,MCI
17,18,LUT,10,1,2,7,9,20,-11,5,LUT
18,19,BUR,10,1,1,8,8,25,-17,4,BUR
19,20,SHU,10,0,1,9,7,29,-22,1,SHU
