,player_id,first_name,last_name,team_id,player_type,minutes_played,form,form_rank,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,player_influence,player_influence_rank,player_creativity,player_creativity_rank,player_threat,player_threat_rank,player_starts,player_news,news_date
0,1,Folarin,Balogun,1,4,0,0.0,546,0,0,0,0,0,0,0,0,0,0.0,584,0.0,577,0.0,565,0,Transferred to Monaco,2023-08-31 08:55:15.272751+00:00
1,2,Cédric,Alves Soares,1,2,0,0.0,383,0,0,0,0,0,0,0,0,0,0.0,447,0.0,430,0.0,405,0,,
2,3,Mohamed,Elneny,1,3,1,1.0,226,0,1,0,0,0,0,0,0,0,1.8,434,0.5,407,2.0,387,0,,2023-08-11 13:00:06.079379+00:00
3,4,Fábio,Ferreira Vieira,1,3,213,1.8,172,1,3,1,2,0,0,0,0,0,79.4,242,63.3,177,77.0,137,2,,2023-09-29 10:30:07.948136+00:00
4,5,Gabriel,dos Santos Magalhães,1,2,654,2.8,101,0,0,3,6,0,0,0,1,0,127.4,155,13.8,347,27.0,251,7,,2023-09-30 23:00:07.672676+00:00
5,6,Kai,Havertz,1,3,653,2.2,127,1,1,3,5,0,0,0,4,0,98.4,200,117.3,88,124.0,86,7,,
6,8,Gabriel,Fernando de Jesus,1,4,362,0.8,292,1,1,2,4,0,0,0,2,0,67.8,261,58.7,194,144.0,56,4,Hamstring injury - Expected back 02 Dec,2023-10-24 23:30:07.618920+00:00
7,9,Jorge Luiz,Frello Filho,1,3,291,1.5,194,0,0,1,5,0,0,0,1,0,39.6,311,48.9,212,9.0,342,3,,2023-08-07 15:30:05.168632+00:00
8,10,Jakub,Kiwior,1,2,181,1.5,179,0,0,1,2,0,0,0,0,0,29.4,341,6.4,369,16.0,297,2,,
9,11,Marcus,Oliveira Alencar,1,3,0,0.0,609,0,0,0,0,0,0,0,0,0,0.0,642,0.0,639,0.0,630,0,Season long loan to FC Nantes,2023-08-14 03:57:12.475590+00:00
10,12,Gabriel,Martinelli Silva,1,3,633,3.2,84,1,2,2,7,0,0,0,0,0,142.2,135,242.6,23,233.0,31,8,,2023-09-17 20:30:06.235303+00:00
11,13,Eddie,Nketiah,1,4,757,5.2,18,5,2,6,5,0,0,0,2,0,179.4,97,90.6,129,272.0,21,9,,
12,14,Martin,Ødegaard,1,3,789,1.2,220,3,2,4,7,0,0,0,1,0,217.4,54,239.2,26,197.0,38,9,Hip injury - 75% chance of playing,2023-11-04 21:00:08.152623+00:00
13,15,Thomas,Partey,1,3,250,0.2,361,0,0,1,2,0,0,0,0,0,55.8,279,60.0,188,15.0,308,3,Muscle injury - Unknown return date,2023-10-25 12:00:07.465521+00:00
14,16,Nicolas,Pépé,1,3,0,0.0,669,0,0,0,0,0,0,0,0,0,0.0,689,0.0,687,0.0,683,0,Permanent move to Trabzonspor,2023-09-11 14:13:51.462896+00:00
15,17,Aaron,Ramsdale,1,1,360,0.0,646,0,0,1,4,0,0,0,0,0,51.0,287,0.0,670,0.0,663,4,,
16,18,Rúnar Alex,Rúnarsson,1,1,0,0.0,420,0,0,0,0,0,0,0,0,0,0.0,480,0.0,467,0.0,443,0,Season long loan to Cardiff City,2023-08-20 06:33:02.960208+00:00
17,19,Bukayo,Saka,1,3,865,3.2,85,4,5,4,9,0,0,0,1,0,315.2,15,370.2,7,322.0,12,10,,2023-10-03 22:30:07.474324+00:00
18,20,William,Saliba,1,2,990,4.2,37,0,1,5,9,0,0,0,0,0,202.0,68,48.3,216,11.0,331,11,,2023-10-09 08:30:07.861646+00:00
19,22,Emile,Smith Rowe,1,3,104,1.8,169,0,1,1,0,0,0,0,0,0,33.8,325,17.2,325,41.0,207,1,Knee injury - Unknown return date,2023-11-02 11:00:07.493976+00:00
20,24,Kieran,Tierney,1,2,0,0.0,536,0,0,0,0,0,0,0,0,0,0.0,576,0.0,568,0.0,555,0,Season long loan to Real Sociedad,2023-08-29 07:46:59.686803+00:00
21,25,Takehiro,Tomiyasu,1,2,325,2.8,100,1,0,1,3,0,0,0,0,1,57.8,275,19.8,313,44.0,199,2,,2023-08-22 00:00:07.272418+00:00
22,26,Leandro,Trossard,1,3,220,2.2,124,2,0,1,2,0,0,0,0,0,101.2,191,98.7,117,74.0,143,2,,2023-10-09 08:30:07.911344+00:00
23,29,Benjamin,White,1,2,947,4.2,39,1,1,5,9,0,0,0,2,0,229.0,47,176.2,49,77.0,138,11,,
24,30,Granit,Xhaka,1,3,0,0.0,718,0,0,0,0,0,0,0,0,0,0.0,724,0.0,724,0.0,724,0,Transferred to Bayer Leverkusen,2023-07-11 08:41:07.159936+00:00
